Name,Latitude,Longitude,,
DECO.MONROE3,41.88571655,-83.35670471,,
DECO.MONROE4,41.88571655,-83.35670471,,
DECO.FERMI2,41.94682592,-83.28872681,,
ALTW.DAEC,42.08680883,-91.7804718,,-91.796112
ALTW.FPL_DAEC,42.08680883,-91.7804718,,-91.796112
DECO.TRNCNL9,42.09577682,-83.20632935,,
DECO.RVRRGE2,42.20329362,-83.16375732,,
DECO.RVRRGE3,42.20329362,-83.16375732,,
DECO.CC.DIG2,42.27710556,-83.12736511,,
DECO.CC.DIG3,42.27710556,-83.12736511,,
CONS.CC.PLYM,42.28828163,-84.38117981,,
CONS.CC.COVER3,42.30351855,-86.31477356,,
CONS.PALISA2A1,42.30351855,-86.31477356,,
ALTW.JOUNEALS4,42.32565633,-96.37619019,,-96.287804
MEC.NEALN_2,42.32565633,-96.37619019,,
MEC.NEALN_3,42.32565633,-96.37619019,,
MEC.NEALS_4,42.32565633,-96.37619019,,
MICHIGAN.HUB,42.51786543,-83.26194763,,
WEC.PLEASA142,42.54316542,-87.88993835,,
WEC.PLPRG41,42.54316542,-87.88993835,,
MEC.PPWIND,42.54539128,-94.71725464,,
ALTW.ALTW,42.56279122,-94.70352173,,-94.683869
DECO.AZ,42.56279125,-83.14315796,,
NYISO,42.63476678,-77.20916748,,
CONS.CC.ZEELA2,42.79701293,-86.0105896,,
DECO.BLR1.DEMO,42.80829785,-82.49015808,,
DECO.BLR2.DEMO,42.80829785,-82.49015808,,
DECO.STCLAIR6,42.81847266,-82.48912811,,
DECO.STCLAIR7,42.81847266,-82.48912811,,
ONT.DECO.PSOUT,42.81978213,-82.45445251,,
WEC.ERG2,42.86408755,-87.84736633,,
WEC.OAKCREKC5,42.86408755,-87.84736633,,
WEC.OKCGC6,42.86408755,-87.84736633,,
WEC.OKCGC7,42.86408755,-87.84736633,,
WEC.OKCGC8,42.86408755,-87.84736633,,
CONS.CAMPBELL1,42.87777557,-86.20353699,,
CONS.CAMPBELL2,42.87777557,-86.20353699,,
CONS.CAMPBELL3,42.87777557,-86.20353699,,
DECO.NEC,43.00424539,-82.83554077,,
ALTW.LANSIN4,43.33396851,-91.16798401,,-91.218768
WEC.CC.PORTW1,43.40424926,-87.88444519,,
WEC.CC.PORTW2,43.40424926,-87.88444519,,
ALTE.COLUMBAL1,43.490392,-89.44931,,-89.46262
ALTE.COLUMBAL2,43.490392,-89.44931,,-89.46262
WPS.COLUMBIA1,43.4991585,-89.48501587,,
WPS.COLUMBIA2,43.4991585,-89.48501587,,
CONS.AZ,43.56228236,-84.7341156,,
DPC.GENOA3,43.57223276,-91.276474,,
CONS.MCV.MCV,43.58417111,-84.21363831,,
CONS.WPSC_2.AZ,43.59212867,-83.94859314,,
CONS.KARN1,43.64362844,-83.86825562,,
CONS.KARN2,43.64362844,-83.86825562,,
WEC.S,43.68853008,-88.28887939,,
ALTE.EDGG4G4,43.7508284,-87.71453,,-87.71453
ALTE.EDGG5G5,43.7508284,-87.71453,,-87.71453
CONS.CETR,43.75482838,-84.92019653,,
DPC.DPC,43.8013556,-91.2395807,,
ISNE,43.88680832,-71.29302979,,
WAUE,43.9026419,-97.81402588,,
CONS.CC.MICHP,43.95486394,-86.44454956,,
SMP.OWEF,43.97858546,-92.45544434,,
WEC.PTBHGB1,44.29279418,-87.55691528,,
WEC.PTBHGB2,44.29279418,-87.55691528,,
ONT,44.32109709,-81.56181335,,
DPC.JPM,44.34310104,-91.97067261,,
CONS.FILERCITY,44.4980727,-86.16165161,,
NSP.PRISL1,44.63973635,-92.69851685,,
NSP.PRISL2,44.63973635,-92.69851685,,
NSP.AZ,44.78417431,-93.08578491,,
WPS.DPC.WESTN4,44.86677096,-89.66697693,,
WPS.WESTON3,44.86677096,-89.66697693,,
WPS.WESTON4,44.86677096,-89.66697693,,
NSP.CC.HIBRDG1,44.9982132,-93.24783325,,
WPS.WPSM,45.08360571,-88.87527466,,
NSP.KING1,45.12857945,-92.82073975,,
OTP.BIGSTON1,45.28300347,-96.47506714,,
MINN.HUB,45.29111933,-94.31488037,,
NSP.MNTCEL1,45.36140885,-93.83972168,,
NSP.NSP,45.36140885,-93.83972168,,
NSP.SHERCO1,45.36140885,-93.83972168,,
NSP.SHERCO2,45.36140885,-93.83972168,,
UPPC.ESCCT,45.7659901,-87.08724976,,
MDU.TATANKA1,45.95726004,-98.80142212,,
UPPC.WARDEN,46.78163061,-88.50448608,,
OTP.CENTER1,47.05365699,-101.1799622,,
MP.BOS233,47.22926749,-93.63235474,,
MP.MP_BOS4,47.22926749,-93.63235474,,
GRE.STANTO1,47.26096499,-101.325531,,
GRE.COALC1_AC,47.37268663,-101.1634827,,
GRE.COALC2_AC,47.37268663,-101.1634827,,
MDU.BEPMAVS2,47.40281103,-101.8789673,,
OTP.MPC,47.4098746,-97.97195435,,
MDU.LEWIS1,47.69534398,-104.1435242,,
ONT_W,48.6211994,-93.42395782,,
OTP.MPC.LANGDN,48.80541623,-98.85910034,,
SPC,49.07458542,-102.9885864,,
MHEB,50.80315735,-98.16558838,,
